iter	Passed	Remaining
141	2592	15663
142	2601	15593
143	2611	15524
144	2649	15624
145	2672	15629
146	2696	15648
147	2718	15648
148	2733	15610
149	2746	15561
150	2756	15499
151	2766	15435
152	2775	15365
153	2785	15303
154	2795	15240
155	2805	15180
156	2814	15112
157	2824	15052
158	2833	14987
159	2842	14923
160	2852	14862
161	2862	14805
162	2870	14741
163	2879	14680
164	2889	14620
165	2898	14562
166	2909	14511
167	2918	14454
168	2928	14399
169	2938	14345
170	2948	14295
171	2959	14246
172	2969	14194
173	2979	14141
174	2989	14093
175	2998	14036
176	3007	13984
177	3017	13935
178	3027	13884
179	3036	13834
180	3045	13782
181	3055	13735
182	3073	13721
183	3084	13679
184	3094	13634
185	3105	13590
186	3115	13544
187	3125	13500
188	3134	13452
189	3144	13404
190	3160	13384
191	3181	13388
192	3202	13389
193	3223	13391
194	3243	13388
195	3263	13385
196	3302	13463
197	3323	13460
198	3343	13457
199	3363	13453
200	3384	13454
201	3406	13456
202	3426	13454
203	3445	13444
204	3466	13444
205	3488	13444
206	3511	13450
207	3532	13450
208	3566	13499
209	3588	13501
210	3610	13501
211	3629	13492
212	3650	13488
213	3668	13474
214	3688	13468
215	3710	13467
216	3732	13466
217	3753	13464
218	3773	13456
219	3795	13455
220	3815	13448
221	3836	13444
222	3856	13437
223	3876	13430
224	3898	13427
225	3919	13425
226	3939	13415
227	3961	13412
228	3981	13403
229	3999	13389
230	4020	13383
231	4039	13372
232	4061	13368
233	4078	13351
234	4098	13343
235	4120	13338
236	4140	13331
237	4159	13318
238	4179	13307
239	4199	13299
240	4220	13290
241	4238	13276
242	4259	13268
243	4279	13259
244	4299	13248
245	4320	13241
246	4338	13226
247	4358	13216
248	4378	13205
249	4397	13193
250	4417	13181
251	4436	13167
252	4456	13158
253	4478	13153
254	4499	13144
255	4518	13133
256	4538	13120
257	4557	13106
258	4575	13090
259	4595	13080
260	4614	13065
261	4631	13044
262	4650	13031
263	4667	13012
264	4686	12998
265	4705	12983
266	4724	12971
267	4747	12966
268	4759	12934
269	4770	12898
270	4779	12857
271	4788	12816
272	4797	12775
273	4806	12736
274	4816	12697
275	4825	12657
276	4834	12617
277	4842	12577
278	4851	12537
279	4860	12499
280	4869	12459
281	4877	12419
282	4887	12382
283	4896	12344
284	4905	12307
285	4915	12271
286	4924	12235
287	4935	12200
288	4943	12160
289	4950	12119
290	4959	12083
291	4968	12047
292	4977	12011
293	4987	11977
294	4997	11943
295	5006	11907
296	5016	11874
297	5026	11841
298	5035	11806
299	5045	11771
300	5054	11736
301	5063	11702
302	5072	11669
303	5082	11636
304	5091	11602
305	5101	11569
306	5110	11536
307	5120	11504
308	5129	11470
309	5138	11437
310	5147	11404
311	5157	11372
312	5165	11338
313	5175	11306
314	5184	11273
315	5208	11273
316	5216	11240
317	5226	11208
318	5235	11175
319	5245	11146
320	5254	11114
321	5263	11083
322	5272	11051
323	5282	11021
324	5291	10989
325	5300	10957
326	5309	10926
327	5319	10897
328	5327	10865
329	5336	10834
330	5345	10804
331	5354	10774
332	5364	10744
333	5373	10715
334	5382	10685
335	5392	10656
336	5401	10627
337	5411	10597
338	5420	10569
339	5429	10539
340	5439	10511
341	5448	10483
342	5458	10455
343	5467	10426
344	5476	10397
345	5485	10369
346	5495	10341
347	5502	10309
348	5511	10281
349	5520	10251
350	5529	10223
351	5538	10195
352	5547	10167
353	5557	10140
354	5565	10111
355	5574	10084
356	5584	10057
357	5593	10030
358	5603	10004
359	5613	9978
360	5622	9951
361	5631	9924
362	5640	9897
363	5649	9870
364	5659	9846
365	5668	9818
366	5677	9793
367	5686	9766
368	5696	9740
369	5706	9716
370	5715	9689
371	5724	9663
372	5732	9636
373	5743	9613
374	5752	9587
375	5762	9563
376	5773	9541
377	5782	9515
378	5792	9491
379	5802	9466
380	5812	9443
381	5822	9419
382	5831	9394
383	5841	9370
384	5851	9346
385	5860	9322
386	5870	9299
387	5880	9276
388	5890	9251
389	5900	9228
390	5909	9203
391	5919	9181
392	5929	9158
393	5940	9137
394	5948	9111
395	5958	9088
396	5968	9065
397	5977	9041
398	5987	9019
399	5997	8996
400	6006	8972
401	6016	8950
402	6025	8926
403	6036	8904
404	6043	8879
405	6053	8857
406	6064	8835
407	6080	8823
408	6101	8816
409	6120	8807
410	6140	8800
411	6160	8791
412	6181	8785
413	6202	8779
414	6222	8771
415	6240	8760
416	6261	8754
417	6282	8747
418	6299	8735
419	6320	8727
420	6341	8721
421	6361	8713
422	6383	8707
423	6404	8700
424	6426	8694
425	6446	8686
426	6468	8679
427	6489	8673
428	6510	8665
429	6531	8658
430	6551	8649
431	6573	8642
432	6593	8634
433	6613	8625
434	6635	8618
435	6656	8611
436	6676	8601
437	6698	8594
438	6718	8585
439	6740	8578
440	6761	8570
441	6782	8561
442	6802	8553
443	6819	8539
444	6840	8531
445	6862	8524
446	6883	8516
447	6904	8507
448	6925	8498
449	6947	8491
450	6969	8483
451	6989	8473
452	7004	8458
453	7025	8448
454	7047	8440
455	7068	8432
456	7088	8422
457	7110	8414
458	7130	8404
459	7146	8389
460	7168	8380
461	7189	8372
462	7209	8362
463	7231	8353
464	7249	8340
465	7269	8330
466	7290	8321
467	7309	8309
468	7330	8299
469	7349	8288
470	7369	8276
471	7389	8266
472	7408	8254
473	7429	8244
474	7450	8234
475	7470	8223
476	7488	8210
477	7506	8197
478	7527	8187
479	7545	8174
480	7565	8163
481	7584	8151
482	7605	8140
483	7624	8128
484	7644	8117
485	7664	8106
486	7677	8087
487	7687	8066
488	7697	8043
489	7706	8021
490	7713	7996
491	7723	7974
492	7733	7952
493	7742	7930
494	7751	7908
495	7762	7887
496	7769	7862
497	7778	7840
498	7787	7819
499	7797	7797
500	7805	7774
501	7814	7752
502	7823	7730
503	7833	7708
504	7841	7686
505	7850	7664
506	7859	7642
507	7869	7621
508	7879	7600
509	7889	7579
510	7898	7558
511	7908	7538
512	7918	7517
513	7928	7496
514	7937	7475
515	7947	7454
516	7956	7433
517	7966	7412
518	7975	7391
519	7985	7371
520	7995	7350
521	8004	7329
522	8014	7309
523	8024	7289
524	8034	7269
525	8044	7248
526	8054	7229
527	8063	7208
528	8073	7188
529	8083	7168
530	8093	7148
531	8102	7127
532	8111	7107
533	8121	7087
534	8130	7066
535	8141	7047
536	8150	7027
537	8160	7007
538	8170	6987
539	8179	6967
540	8188	6947
541	8198	6927
542	8206	6907
543	8215	6886
544	8225	6866
545	8234	6847
546	8244	6827
547	8253	6807
548	8262	6787
549	8273	6768
550	8282	6749
551	8292	6730
552	8300	6709
553	8309	6689
554	8318	6669
555	8327	6650
556	8337	6630
557	8346	6611
558	8356	6592
559	8365	6573
560	8375	6553
561	8384	6534
562	8393	6514
563	8402	6495
564	8411	6476
565	8420	6456
566	8430	6437
567	8439	6418
568	8448	6399
569	8458	6380
570	8467	6361
571	8477	6343
572	8486	6324
573	8496	6305
574	8505	6286
575	8515	6268
576	8524	6249
577	8533	6230
578	8542	6211
579	8552	6193
580	8561	6174
581	8571	6156
582	8580	6137
583	8591	6119
584	8600	6101
585	8610	6083
586	8619	6064
587	8628	6046
588	8638	6028
589	8648	6009
590	8658	5992
591	8668	5974
592	8708	5977
593	8717	5958
594	8727	5940
595	8737	5922
596	8747	5905
597	8756	5886
598	8766	5868
599	8777	5851
600	8787	5833
601	8797	5816
602	8807	5798
603	8817	5781
604	8827	5763
605	8838	5746
606	8848	5729
607	8858	5711
608	8868	5693
609	8878	5676
610	8889	5659
611	8899	5642
612	8910	5625
613	8920	5608
614	8930	5590
615	8940	5573
616	8950	5555
617	8959	5538
618	8970	5521
619	8981	5504
620	8992	5488
621	9003	5471
622	9012	5453
623	9023	5437
624	9034	5420
625	9044	5403
626	9054	5386
627	9064	5369
628	9076	5353
629	9086	5336
630	9096	5319
631	9107	5302
632	9117	5286
633	9127	5269
634	9137	5252
635	9155	5239
636	9175	5228
637	9195	5217
638	9217	5207
639	9238	5196
640	9259	5186
641	9281	5175
642	9303	5165
643	9324	5154
644	9343	5142
645	9363	5130
646	9384	5120
647	9406	5109
648	9424	5097
649	9444	5085
650	9464	5074
651	9484	5062
652	9504	5050
653	9525	5039
654	9547	5028
655	9567	5017
656	9587	5005
657	9608	4993
658	9628	4982
659	9650	4971
660	9671	4960
661	9692	4948
662	9714	4937
663	9734	4926
664	9755	4914
665	9777	4903
666	9798	4892
667	9820	4880
668	9840	4868
669	9861	4857
670	9882	4845
671	9903	4833
672	9924	4822
673	9945	4810
674	9964	4797
675	9985	4785
676	10005	4773
677	10026	4761
678	10046	4749
679	10066	4737
680	10085	4724
681	10107	4712
682	10127	4700
683	10147	4687
684	10168	4676
685	10190	4664
686	10210	4651
687	10227	4638
688	10247	4625
689	10267	4612
690	10287	4600
691	10306	4587
692	10326	4574
693	10345	4561
694	10365	4548
695	10384	4535
696	10403	4522
697	10423	4510
698	10443	4497
699	10462	4484
700	10482	4471
701	10501	4457
702	10521	4444
703	10539	4431
704	10561	4419
705	10581	4406
706	10601	4393
707	10620	4380
708	10639	4366
709	10657	4353
710	10675	4339
711	10695	4326
712	10715	4313
713	10735	4300
714	10749	4284
715	10759	4267
716	10768	4250
717	10777	4232
718	10786	4215
719	10795	4198
720	10805	4181
721	10817	4165
722	10830	4149
723	10842	4133
724	10855	4117
725	10867	4101
726	10878	4085
727	10897	4071
728	10916	4058
729	10936	4045
730	10956	4031
731	10976	4018
732	10995	4005
733	11015	3992
734	11036	3979
735	11056	3965
736	11076	3952
737	11096	3939
738	11115	3925
739	11134	3912
740	11154	3898
741	11175	3885
742	11195	3872
743	11215	3859
744	11236	3845
745	11257	3832
746	11278	3819
747	11298	3806
748	11319	3793
749	11340	3780
750	11359	3766
751	11379	3752
752	11399	3739
753	11420	3725
754	11440	3712
755	11459	3698
756	11480	3685
757	11501	3671
758	11520	3658
759	11541	3644
760	11562	3631
761	11582	3617
762	11603	3604
763	11623	3590
764	11644	3576
765	11664	3563
766	11685	3549
767	11707	3536
768	11726	3522
769	11747	3508
770	11767	3495
771	11788	3481
772	11809	3468
773	11832	3454
774	11852	3441
775	11874	3427
776	11896	3414
777	11916	3400
778	11934	3385
779	11954	3371
780	11973	3357
781	11992	3343
782	12013	3329
783	12031	3314
784	12052	3301
785	12071	3286
786	12091	3272
787	12110	3258
788	12131	3244
789	12151	3230
790	12172	3216
791	12192	3202
792	12212	3188
793	12232	3173
794	12252	3159
795	12272	3145
796	12292	3131
797	12313	3116
798	12333	3102
799	12352	3088
800	12373	3073
801	12393	3059
802	12413	3045
803	12433	3031
804	12453	3016
805	12472	3002
806	12494	2988
807	12513	2973
808	12532	2958
809	12553	2944
810	12572	2929
811	12592	2915
812	12611	2900
813	12630	2886
814	12650	2871
815	12669	2856
816	12687	2841
817	12707	2827
818	12727	2812
819	12748	2798
820	12767	2783
821	12787	2769
822	12807	2754
823	12827	2739
824	12846	2725
825	12867	2710
826	12888	2696
827	12907	2681
828	12927	2666
829	12947	2651
830	12967	2637
831	12988	2622
832	13008	2607
833	13028	2593
834	13047	2578
835	13066	2563
836	13086	2548
837	13108	2534
838	13127	2519
839	13146	2504
840	13166	2489
841	13186	2474
842	13207	2459
843	13227	2444
844	13248	2430
845	13267	2415
846	13287	2400
847	13306	2385
848	13326	2370
849	13345	2355
850	13364	2339
851	13384	2325
852	13403	2309
853	13424	2295
854	13444	2280
855	13465	2265
856	13485	2250
857	13503	2234
858	13524	2220
859	13543	2204
860	13563	2189
861	13584	2174
862	13604	2159
863	13623	2144
864	13644	2129
865	13664	2114
866	13685	2099
867	13705	2084
868	13726	2069
869	13745	2053
870	13767	2038
871	13789	2024
872	13809	2008
873	13830	1993
874	13849	1978
875	13871	1963
876	13891	1948
877	13911	1932
878	13930	1917
879	13950	1902
880	13970	1887
881	13990	1871
882	14009	1856
883	14030	1841
884	14051	1825
885	14071	1810
886	14091	1795
887	14112	1779
888	14133	1764
889	14153	1749
890	14173	1733
891	14191	1718
892	14212	1702
893	14232	1687
894	14252	1672
895	14273	1656
896	14292	1641
897	14312	1625
898	14332	1610
899	14352	1594
900	14372	1579
901	14394	1563
902	14414	1548
903	14435	1532
904	14456	1517
905	14475	1501
906	14496	1486
907	14517	1470
908	14536	1455
909	14557	1439
910	14576	1424
911	14596	1408
912	14616	1392
913	14637	1377
914	14657	1361
915	14677	1346
916	14698	1330
917	14717	1314
918	14738	1299
919	14757	1283
920	14777	1267
921	14797	1251
922	14816	1236
923	14836	1220
924	14858	1204
925	14879	1189
926	14899	1173
927	14919	1157
928	14938	1141
929	14957	1125
930	14977	1110
931	14997	1094
932	15016	1078
933	15036	1062
934	15056	1046
935	15076	1030
936	15095	1014
937	15116	999
938	15135	983
939	15156	967
940	15175	951
941	15194	935
942	15214	919
943	15234	903
944	15254	887
945	15275	871
946	15289	855
947	15309	839
948	15329	823
949	15350	807
950	15369	791
951	15389	775
952	15411	760
953	15431	744
954	15451	728
955	15471	712
956	15491	696
957	15511	680
958	15530	663
959	15552	648
960	15572	631
961	15592	615
962	15613	599
963	15633	583
964	15655	567
965	15674	551
966	15693	535
967	15714	519
968	15733	503
969	15754	487
970	15773	471
971	15794	454
972	15814	438
973	15834	422
974	15852	406
975	15873	390
976	15894	374
977	15914	357
978	15935	341
979	15955	325
980	15976	309
981	15994	293
982	16014	276
983	16034	260
984	16055	244
985	16076	228
986	16096	212
987	16116	195
988	16136	179
989	16157	163
990	16178	146
991	16199	130
992	16219	114
993	16238	98
994	16257	81
995	16277	65
996	16298	49
997	16318	32
998	16339	16
999	16358	0
